Current name,Current field,units,,To keep?,New name,New field,New units,Resolution,Long. Lat,Eastings Northings,Location,Project,Parameter,SuDS/GI type,All,,Weather,Rainfall,Outflow (drain gauge),Soil moisture/VWC,Soil temperature,Soil electrical conductivity,Soil tension/pressure,Water depth,Runoff simulator,Rel Humidity,Air temperature,Barometric pressure,Evapotranspiration,Wind,Wind direction,Wind speed,Power,Solar radiation,PLEXUS,Swale,UGDaMS,CACTUS,ACHILLES,Biochar,City wide,Green roof,NGIF other,Lysimeter,Ensemble,Swale,Green roof,Cell A,Cell B
GP2-10-62 (Lysimeter 2),SoilTemp 100 D,deg C,,Y,Lysimeter 2,,,,"54.973455, -1.625849",,Lysimeter 2,Biochar,Soil temperature,Lysimeter,All,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,
GP2-10-62 (Lysimeter 2),SoilTemp 500 C,deg C,,Y,Lysimeter 2,,,,"54.973455, -1.625849",,Lysimeter 2,Biochar,Soil temperature,Lysimeter,All,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,
GP2-10-62 (Lysimeter 2),SoilTemp 500 D,deg C,,Y,Lysimeter 2,,,,"54.973455, -1.625849",,Lysimeter 2,Biochar,Soil temperature,Lysimeter,All,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,
GP2-10-62 (Lysimeter 2),SoilTemp 800 C,deg C,,Y,Lysimeter 2,,,,"54.973455, -1.625849",,Lysimeter 2,Biochar,Soil temperature,Lysimeter,All,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,
GP2-10-62 (Lysimeter 2),SoilTemp 800 D,deg C,,Y,Lysimeter 2,,,,"54.973455, -1.625849",,Lysimeter 2,Biochar,Soil temperature,Lysimeter,All,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,
GP2-10-62 (Lysimeter 2),Theta 100 C,%,,Y,Lysimeter 2,,,,"54.973455, -1.625849",,Lysimeter 2,Biochar,Soil moisture (VWC),Lysimeter,All,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,
GP2-10-62 (Lysimeter 2),Theta 100 D,%,,Y,Lysimeter 2,,,,"54.973455, -1.625849",,Lysimeter 2,Biochar,Soil moisture (VWC),Lysimeter,All,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,
GP2-10-62 (Lysimeter 2),Theta 500 C,%,,Y,Lysimeter 2,,,,"54.973455, -1.625849",,Lysimeter 2,Biochar,Soil moisture (VWC),Lysimeter,All,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,
GP2-10-62 (Lysimeter 2),Theta 500 D,%,,Y,Lysimeter 2,,,,"54.973455, -1.625849",,Lysimeter 2,Biochar,Soil moisture (VWC),Lysimeter,All,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,
GP2-10-62 (Lysimeter 2),Theta 800 C,%,,Y,Lysimeter 2,,,,"54.973455, -1.625849",,Lysimeter 2,Biochar,Soil moisture (VWC),Lysimeter,All,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,
GP2-10-62 (Lysimeter 2),Theta 800 D,%,,Y,Lysimeter 2,,,,"54.973455, -1.625849",,Lysimeter 2,Biochar,Soil moisture (VWC),Lysimeter,All,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,
GP2-10-76 (Lysimeter 6),#ET (P-M) - Mono-cropped Hairgrass##Canopy LAI,degrees,,N,Lysimeter 6,,,,"54.973675, -1.625813",,Lysimeter 6, ,Evapotranspiration,Lysimeter,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,
GP2-10-76 (Lysimeter 6),#ET (P-M) - Mono-cropped Hairgrass##Canopy albedo,degrees,,N,Lysimeter 6,,,,"54.973675, -1.625813",,Lysimeter 6, ,Evapotranspiration,Lysimeter,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,
GP2-10-76 (Lysimeter 6),#ET (P-M) - Mono-cropped Hairgrass##Canopy height,Count,,N,Lysimeter 6,,,,"54.973675, -1.625815",,Lysimeter 6, ,Evapotranspiration,Lysimeter,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,
GP2-10-76 (Lysimeter 6),#ET (P-M) - Mono-cropped Hairgrass##Surface resistance (day),mm,,N,Lysimeter 6,,,,"54.973675, -1.625816",,Lysimeter 6, ,Evapotranspiration,Lysimeter,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,
